date,B2,B3,B4,B5,B6,B7,B8,B8A
2021-01-08,0.246,0.209,0.209,0.226,0.252,0.258,0.254,0.268
2021-01-18,0.296,0.28,0.312,0.355,0.415,0.441,0.451,0.487
2021-01-18,0.296,0.28,0.312,0.355,0.415,0.441,0.451,0.487
2021-02-02,0.146,0.114,0.098,0.107,0.12,0.127,0.121,0.132
2021-02-22,0.126,0.111,0.117,0.143,0.177,0.203,0.215,0.244
2021-02-22,0.126,0.111,0.117,0.143,0.177,0.203,0.215,0.244
2021-02-27,0.109,0.095,0.102,0.126,0.163,0.188,0.207,0.233
2021-02-27,0.109,0.095,0.102,0.126,0.163,0.188,0.207,0.233
2021-03-04,0.096,0.082,0.09,0.119,0.154,0.179,0.197,0.221
2021-03-19,0.111,0.093,0.107,0.137,0.175,0.204,0.23,0.258
2021-03-24,0.093,0.08,0.09,0.117,0.151,0.177,0.194,0.22
2021-03-24,0.093,0.08,0.09,0.117,0.151,0.177,0.194,0.22
2021-03-29,0.092,0.08,0.091,0.116,0.152,0.176,0.194,0.224
2021-03-29,0.092,0.08,0.091,0.115,0.152,0.176,0.194,0.224
2021-04-23,0.105,0.093,0.105,0.137,0.177,0.205,0.222,0.252
2021-05-28,0.177,0.187,0.167,0.234,0.353,0.391,0.389,0.422
2021-05-28,0.177,0.187,0.167,0.234,0.353,0.391,0.389,0.422
2021-06-12,0.077,0.082,0.043,0.11,0.322,0.396,0.389,0.433
2021-06-12,0.077,0.082,0.043,0.11,0.322,0.396,0.389,0.433
2021-06-17,0.079,0.076,0.042,0.09,0.293,0.376,0.375,0.42
2021-06-17,0.079,0.076,0.042,0.09,0.293,0.376,0.375,0.42
2021-06-22,0.077,0.074,0.044,0.094,0.308,0.398,0.393,0.442
2021-06-22,0.077,0.074,0.044,0.094,0.308,0.398,0.393,0.442
2021-07-07,0.071,0.066,0.04,0.079,0.268,0.348,0.352,0.392
2021-07-07,0.071,0.066,0.04,0.079,0.268,0.348,0.352,0.392
2021-07-12,0.086,0.08,0.055,0.094,0.277,0.356,0.352,0.397
2021-07-12,0.086,0.08,0.055,0.094,0.277,0.356,0.352,0.397
2021-07-22,0.082,0.072,0.045,0.083,0.271,0.355,0.35,0.397
2021-07-22,0.082,0.072,0.045,0.083,0.271,0.355,0.35,0.397
2021-08-11,0.076,0.068,0.041,0.08,0.262,0.342,0.339,0.388
2021-08-11,0.076,0.068,0.041,0.08,0.262,0.342,0.339,0.388
2021-08-16,0.08,0.071,0.046,0.08,0.249,0.329,0.329,0.376
2021-08-16,0.08,0.071,0.046,0.08,0.249,0.329,0.329,0.376
2021-08-26,0.075,0.066,0.041,0.079,0.258,0.338,0.346,0.389
2021-08-26,0.075,0.066,0.041,0.079,0.258,0.338,0.346,0.388
2021-08-31,0.107,0.084,0.058,0.08,0.182,0.224,0.239,0.245
2021-09-05,0.072,0.065,0.039,0.081,0.257,0.332,0.34,0.384
2021-09-05,0.072,0.065,0.039,0.081,0.257,0.332,0.34,0.384
2021-09-30,0.091,0.08,0.051,0.101,0.258,0.322,0.329,0.381
2021-10-10,0.13,0.123,0.101,0.161,0.315,0.376,0.391,0.443
2021-10-15,0.075,0.072,0.046,0.105,0.23,0.276,0.301,0.34
2021-10-15,0.075,0.072,0.046,0.105,0.23,0.276,0.301,0.34
2021-10-30,0.093,0.075,0.083,0.109,0.141,0.176,0.203,0.248
2021-11-19,0.102,0.083,0.088,0.113,0.154,0.183,0.201,0.237
2021-11-19,0.102,0.083,0.088,0.113,0.154,0.183,0.201,0.237
2021-11-24,0.103,0.083,0.088,0.111,0.151,0.183,0.203,0.243
2021-11-24,0.103,0.083,0.088,0.111,0.151,0.183,0.203,0.243
2021-12-14,0.271,0.256,0.282,0.318,0.372,0.398,0.404,0.436
2021-12-14,0.271,0.256,0.282,0.318,0.372,0.398,0.404,0.436
2021-12-19,0.176,0.157,0.169,0.201,0.245,0.276,0.289,0.319
2021-12-19,0.176,0.157,0.169,0.201,0.246,0.276,0.289,0.319
2022-01-08,0.213,0.19,0.213,0.25,0.299,0.327,0.346,0.373
2022-01-08,0.213,0.19,0.213,0.25,0.299,0.327,0.346,0.373
2022-01-13,0.259,0.242,0.271,0.31,0.364,0.391,0.405,0.434
2022-01-13,0.259,0.242,0.271,0.31,0.364,0.391,0.405,0.434
2022-01-18,0.139,0.119,0.129,0.161,0.199,0.226,0.239,0.272
2022-01-18,0.139,0.119,0.129,0.161,0.199,0.226,0.239,0.272
2022-02-02,0.123,0.106,0.116,0.143,0.179,0.205,0.22,0.252
2022-02-02,0.123,0.106,0.116,0.143,0.179,0.205,0.22,0.252
2022-02-22,0.22,0.21,0.227,0.256,0.296,0.319,0.335,0.354
2022-02-22,0.22,0.21,0.227,0.255,0.296,0.318,0.335,0.355
2022-03-09,0.163,0.151,0.164,0.194,0.229,0.249,0.262,0.288
2022-03-09,0.163,0.151,0.164,0.194,0.229,0.249,0.262,0.288
2022-03-14,0.106,0.092,0.106,0.132,0.173,0.201,0.221,0.252
2022-03-24,0.093,0.08,0.09,0.113,0.145,0.166,0.187,0.206
2022-03-24,0.093,0.08,0.09,0.113,0.145,0.166,0.187,0.206
2022-04-18,0.089,0.078,0.088,0.115,0.15,0.172,0.19,0.212
2022-04-18,0.089,0.078,0.088,0.115,0.15,0.171,0.19,0.212
